3;0.0328078
3.05;0.0166264
3.1;0.00504837
3.15;-0.00271949
3.2;-0.0073901
3.25;-0.00960001
3.3;-0.0099134
3.35;-0.00882594
3.4;-0.00676881
3.45;-0.00411259
3.5;-0.00117117
3.55;0.0017944
3.6;0.00457203
3.65;0.00699482
3.7;0.0089373
3.75;0.0103117
3.8;0.0110644
3.85;0.0111721
3.9;0.0106388
3.95;0.00949185
4;0.00777897
4.05;0.00556488
4.1;0.00292823
4.15;-4.14455e-05
4.2;-0.00324658
4.25;-0.00658436
4.3;-0.0099493
4.35;-0.0132358
4.4;-0.0163402
4.45;-0.0191635
4.5;-0.0216125
4.55;-0.0236025
4.6;-0.0250581
4.65;-0.0259151
4.7;-0.0261218
4.75;-0.0256397
4.8;-0.0244443
4.85;-0.0225261
4.9;-0.0198905
4.95;-0.0165584
5;-0.0125656
5.05;-0.00796329
5.1;-0.00281674
5.15;0.00279482
5.2;0.00877935
5.25;0.0150331
5.3;0.0214419
5.35;0.0278826
5.4;0.034225
5.45;0.0403333
5.5;0.0460684
5.55;0.05129
5.6;0.0558586
5.65;0.059638
5.7;0.0624978
5.75;0.0643155
5.8;0.0649793
5.85;0.0643904
5.9;0.0624652
5.95;0.0591381
6;0.0543631
6.05;0.0481164
6.1;0.040398
6.15;0.0312334
6.2;0.0206751
6.25;0.00880358
6.3;-0.00427176
6.35;-0.0184122
6.4;-0.0334498
6.45;-0.0491876
6.5;-0.0654005
6.55;-0.0818369
6.6;-0.0982202
6.65;-0.114251
6.7;-0.129612
6.75;-0.143967
6.8;-0.15697
6.85;-0.168267
6.9;-0.177501
6.95;-0.18432
7;-0.18838
7.05;-0.189352
7.1;-0.186931
7.15;-0.180844
7.2;-0.17085
7.25;-0.156759
7.3;-0.138429
7.35;-0.11578
7.4;-0.0887983
7.45;-0.0575454
7.5;-0.0221625
7.55;0.0171228
7.6;0.0599915
7.65;0.10603
7.7;0.154726
7.75;0.20547
7.8;0.257551
7.85;0.310164
7.9;0.36241
7.95;0.413302
8;0.461776
8.05;0.506699
8.1;0.546881
8.15;0.581094
8.2;0.608087
8.25;0.626606
8.3;0.63542
8.35;0.633341
8.4;0.619256
8.45;0.592151
8.5;0.551145
8.55;0.495519
8.6;0.424749
8.65;0.33854
8.7;0.236851
8.75;0.119932
8.8;-0.0116522
8.85;-0.156996
8.9;-0.314832
8.95;-0.483512
9;-0.661002
9.05;-0.844872
9.1;-1.0323
9.15;-1.22009
9.2;-1.40468
9.25;-1.58219
9.3;-1.74844
9.35;-1.89902
9.4;-2.02935
9.45;-2.13473
9.5;-2.21048
9.55;-2.25194
9.6;-2.25466
9.65;-2.21447
9.7;-2.12757
9.75;-1.99069
9.8;-1.80119
9.85;-1.55719
9.9;-1.25764
9.95;-0.902484
10;-0.492735
10.05;-0.0305518
10.1;0.480675
10.15;1.03627
10.2;1.63025
10.25;2.25529
10.3;2.90273
10.35;3.56264
10.4;4.22382
10.45;4.87393
10.5;5.49957
10.55;6.08641
10.6;6.61935
10.65;7.08272
10.7;7.46048
10.75;7.73647
10.8;7.89469
10.85;7.91961
10.9;7.79657
10.95;7.5121
11;7.05439
11.05;6.41374
11.1;5.583
11.15;4.558
11.2;3.33803
11.25;1.92613
11.3;0.329403
11.35;-1.44082
11.4;-3.36889
11.45;-5.43479
11.5;-7.61416
11.55;-9.8782
11.6;-12.1935
11.65;-14.5216
11.7;-16.8191
11.75;-19.0374
11.8;-21.1243
11.85;-23.0264
11.9;-24.6921
11.95;-26.0692
